197 1112
135 192 725
154 186 783
38 165 993
80 94 274
172 178 187
182 24 464
38 170 25
44 186 258
111 82 279
126 90 905
189 163 584
146 122 846
80 154 953
72 93 319
153 52 78
33 133 480
74 118 643
185 177 443
103 29 143
87 161 733
182 174 893
82 168 737
57 173 467
143 85 138
175 55 617
188 62 472
190 120 465
8 78 479
93 70 235
33 124 943
81 164 431
135 150 184
97 84 93
51 125 776
144 126 32
59 157 381
18 144 173
75 93 396
164 148 237
5 86 588
6 81 231
2 38 259
53 71 169
54 136 152
27 13 238
126 175 593
36 151 157
78 159 895
61 59 517
79 126 278
186 19 858
138 177 531
155 166 768
136 186 605
126 177 877
129 54 777
86 150 51
68 28 76
106 156 426
191 122 171
171 194 502
173 187 891
7 108 641
192 94 706
87 184 65
49 88 67
150 79 328
152 83 390
8 118 254
73 67 871
179 107 707
6 56 942
80 108 41
25 118 705
196 137 438
139 147 762
35 123 467
115 58 617
52 10 985
3 109 417
3 5 189
154 184 53
21 66 875
1 52 555
60 35 274
7 106 680
78 113 100
185 118 909
120 106 786
145 40 239
101 106 26
63 51 165
72 173 958
164 56 225
107 25 697
126 118 710
4 108 500
135 144 388
48 158 762
147 62 682
57 44 707
36 151 637
161 137 693
95 170 867
45 188 891
25 148 854
173 159 806
56 29 643
131 144 748
44 10 544
165 92 446
135 110 520
99 93 436
149 134 974
12 92 254
163 143 625
30 40 564
187 129 614
14 163 482
190 115 120
83 153 423
106 94 311
94 177 232
67 27 433
70 169 728
90 166 992
60 180 260
184 196 271
72 68 931
20 183 329
138 21 27
45 124 646
47 80 195
36 72 888
79 155 573
105 8 709
170 188 701
172 165 382
155 191 586
174 125 673
142 156 641
126 11 835
20 161 426
174 62 980
84 108 114
141 5 582
122 146 291
85 132 15
49 156 210
69 99 104
119 96 419
15 108 245
176 3 914
184 88 719
144 178 864
50 53 95
180 143 988
172 170 582
86 24 32
33 140 351
11 112 933
41 132 528
14 38 190
88 27 732
159 197 268
194 6 998
43 171 13
32 102 736
141 91 352
9 142 720
93 138 611
89 186 659
54 7 634
47 128 240
69 29 273
51 74 786
195 116 698
44 30 709
77 30 535
189 150 598
142 51 880
154 86 905
168 74 443
78 186 169
101 74 966
49 162 258
42 161 99
22 97 568
122 155 106
69 7 910
190 152 383
184 154 790
85 157 848
37 74 306
129 144 408
106 161 346
42 164 500
171 128 231
26 111 920
40 181 578
184 45 901
98 132 976
72 1 310
179 166 738
171 86 5
35 74 816
23 48 202
96 179 358
174 23 360
124 146 827
74 48 420
22 121 238
149 123 127
69 12 215
34 73 535
3 34 893
72 121 231
88 36 295
31 153 255
59 169 182
130 10 101
37 191 710
56 59 852
53 37 748
179 188 487
70 175 248
189 157 107
82 146 270
117 1 89
191 162 852
114 28 639
123 127 994
76 90 468
30 164 975
74 123 315
161 55 59
63 3 594
117 67 708
126 4 120
85 39 460
147 60 980
147 100 635
151 122 735
44 110 36
48 177 454
149 31 30
110 29 833
54 66 957
139 114 236
77 50 247
4 66 51
134 181 610
145 22 925
186 157 758
42 45 906
81 109 76
162 89 461
16 104 657
129 151 163
105 167 440
141 20 165
94 70 374
64 165 762
85 91 210
146 74 916
2 98 751
43 134 749
73 22 439
97 145 684
25 12 910
180 54 361
94 55 260
48 172 914
144 61 404
42 56 817
37 84 90
73 177 151
180 16 87
82 111 838
101 168 578
140 189 239
187 112 505
131 75 296
3 147 886
85 143 503
148 118 387
188 172 286
182 33 97
91 146 261
152 137 561
71 177 513
57 165 271
168 147 614
39 93 21
85 176 298
96 140 914
127 189 343
161 60 946
72 125 893
128 169 571
139 170 177
68 62 161
195 44 16
25 49 689
77 79 232
86 91 582
177 42 3
11 58 915
100 194 673
16 166 65
3 147 616
101 109 658
13 3 260
54 57 588
163 75 11
7 138 45
107 45 744
78 69 657
123 52 563
46 113 539
60 72 81
111 27 393
158 167 904
44 3 690
132 11 410
83 56 420
194 2 572
13 79 17
42 100 73
39 125 619
126 60 118
191 193 268
142 64 650
124 187 823
34 196 954
60 70 565
184 100 749
21 53 192
55 160 576
106 37 133
148 117 911
13 77 977
94 163 556
123 150 167
104 98 344
136 33 859
74 158 384
56 157 479
135 171 684
67 72 815
148 72 131
15 161 739
163 195 94
54 125 215
99 67 879
176 117 866
63 118 372
120 22 790
153 5 830
71 4 692
53 76 316
155 12 806
178 19 737
178 161 174
90 116 822
90 135 18
10 126 355
164 162 963
179 1 493
63 119 772
34 79 675
186 172 256
145 148 358
3 102 60
70 32 22
13 126 563
162 151 413
175 50 44
82 34 208
130 129 378
27 121 253
9 25 30
115 19 47
20 164 933
157 136 725
23 167 93
129 38 986
35 142 549
25 61 886
143 64 487
161 18 930
53 186 415
115 136 339
60 109 682
74 163 475
54 76 317
159 73 307
161 35 601
196 102 893
72 186 322
29 71 366
8 17 531
49 86 997
36 112 759
115 124 715
24 101 619
98 196 14
91 14 347
173 18 871
163 158 310
72 85 266
146 55 1000
44 78 701
185 116 476
114 197 522
35 12 816
93 90 681
189 81 936
142 129 59
84 56 6
97 140 196
54 156 574
15 142 203
121 4 2
72 123 643
87 115 504
66 33 189
89 188 931
72 111 952
169 187 905
44 24 613
46 53 348
177 193 767
180 76 738
110 112 761
160 161 852
12 28 50
42 71 4
29 98 909
57 180 780
197 52 545
112 53 48
107 111 265
74 175 822
127 11 15
47 130 358
71 59 501
102 189 976
164 188 700
1 19 678
152 94 180
72 67 54
142 148 296
138 147 841
123 45 984
123 23 569
101 36 496
10 22 885
57 80 549
116 152 925
39 66 887
45 119 55
125 14 361
84 185 133
43 170 373
161 121 500
102 90 710
162 57 969
63 105 320
87 46 9
165 95 789
73 172 146
59 4 421
75 187 438
24 15 695
92 193 984
190 105 874
66 123 581
100 178 767
43 2 663
115 124 449
100 180 956
5 18 205
14 124 711
93 111 420
113 62 473
24 164 930
84 3 753
157 196 868
188 60 2
48 193 512
9 191 420
135 193 967
88 156 797
19 101 43
93 20 808
193 5 932
41 89 993
187 26 68
138 162 294
27 60 628
97 57 780
136 139 973
105 115 318
139 195 271
189 44 788
40 148 729
170 172 1
57 147 863
158 61 997
8 56 970
34 146 277
79 168 184
172 14 141
190 72 162
163 38 203
181 163 322
128 48 647
119 190 117
138 36 828
125 54 828
114 185 793
177 77 735
2 32 102
83 68 486
61 154 7
152 42 2
121 50 373
112 160 812
131 90 282
71 163 0
167 128 250
91 115 388
82 111 116
53 134 475
101 142 383
91 177 848
132 81 752
39 111 242
19 113 412
24 52 855
121 56 807
147 112 974
131 197 1000
35 34 48
127 29 777
18 194 792
70 122 134
146 113 890
168 159 37
37 185 448
143 2 254
30 158 308
30 47 184
97 15 373
35 98 697
82 191 328
115 158 451
105 25 685
111 55 673
177 154 249
134 57 280
184 94 268
73 8 293
114 24 282
128 76 709
65 31 445
5 138 889
150 28 434
76 105 362
1 59 691
150 87 474
50 47 185
33 13 81
7 137 697
120 5 114
83 124 0
123 111 146
70 14 596
4 41 678
91 146 855
25 119 403
50 170 103
