136 270
119 104 -10
66 47 -46
121 9 -35
30 95 -1
15 4 20
7 124 14
27 11 7
95 68 18
117 42 11
82 90 43
106 37 74
1 45 15
117 81 24
73 39 46
88 28 -2
134 85 -40
53 107 7
125 127 72
27 82 -40
82 105 98
28 23 -19
6 43 10
59 129 -10
61 17 88
62 122 36
30 105 47
37 67 21
91 6 49
1 90 68
70 30 28
61 122 -30
72 119 93
65 4 -3
96 109 32
91 18 23
102 90 28
126 17 -29
30 44 -30
90 42 -43
96 28 -1
44 81 6
15 14 99
66 2 27
53 49 65
56 35 94
2 16 100
101 47 27
36 20 -46
65 48 15
43 93 74
47 53 7
108 57 50
112 29 -50
109 19 80
57 117 16
44 120 6
86 26 58
128 33 56
61 87 -32
60 2 31
131 44 74
131 94 -32
22 33 -27
11 59 13
18 115 -1
100 95 -48
23 119 67
83 110 18
57 123 -24
126 5 -26
89 33 -37
93 30 11
128 20 28
2 36 62
2 108 -23
87 18 50
108 77 0
16 31 -48
2 101 -19
44 18 98
50 18 37
92 87 -23
70 3 -38
44 85 72
1 73 59
40 106 25
8 111 98
44 133 84
98 62 -8
8 41 85
123 135 92
50 64 9
67 113 -42
82 1 47
42 39 49
38 48 28
53 17 49
132 57 97
65 3 14
44 113 81
128 37 12
51 106 94
1 110 16
47 124 19
109 132 98
17 43 -40
84 113 -47
123 133 18
124 14 81
13 26 -16
96 79 25
51 5 57
83 103 -26
97 21 -28
9 73 34
96 55 -22
16 10 25
104 70 -22
14 131 96
110 130 6
29 18 71
27 70 79
105 118 32
126 27 2
113 17 -43
135 1 69
127 27 26
128 30 -25
66 44 41
70 86 -9
56 35 75
131 105 38
51 136 30
6 126 36
107 53 -49
78 64 77
59 27 62
63 132 -35
117 39 25
110 27 32
112 1 52
101 113 99
30 74 18
6 101 89
76 79 54
43 95 46
20 133 1
41 1 -29
114 76 15
51 18 22
75 68 -50
69 83 98
108 104 99
32 28 -6
115 112 99
73 123 39
132 84 54
51 2 7
1 37 17
4 103 28
54 86 88
13 91 -35
80 93 -3
62 30 -41
99 55 68
6 1 68
114 123 -27
2 41 78
126 58 30
114 96 20
102 79 28
15 106 -25
101 43 88
40 63 35
20 102 -49
2 30 66
18 32 56
135 10 85
45 16 13
109 98 72
47 75 -17
35 134 -4
47 133 55
69 124 -48
44 40 93
110 4 62
98 36 91
105 57 80
39 82 63
56 20 54
72 24 13
3 117 -5
118 112 88
22 77 71
83 134 62
97 83 93
32 128 -6
111 87 96
41 23 15
99 27 60
98 108 -28
77 108 -17
76 114 12
8 118 -42
2 20 14
15 19 -16
22 57 -12
39 89 -15
99 133 89
4 49 6
84 95 13
9 13 94
53 84 -24
99 60 38
6 63 50
58 66 81
75 71 -27
12 136 8
33 71 -32
116 100 -47
105 102 16
65 124 -49
105 26 79
119 40 81
101 78 -24
25 102 -15
102 135 -40
35 90 -34
123 15 -16
130 8 46
62 73 92
123 133 86
103 52 31
62 70 1
58 97 16
34 98 11
99 92 93
85 16 68
85 88 29
45 49 -2
67 73 65
80 94 -48
91 129 -34
56 3 -8
108 52 -10
15 3 -8
30 129 1
16 26 73
41 1 -46
121 98 11
38 12 -33
121 70 92
25 52 59
130 24 50
66 14 4
69 98 -49
97 2 -17
80 109 -30
87 36 96
99 79 -15
40 115 72
98 18 -7
102 116 -3
129 56 57
2 32 86
118 38 -42
130 7 18
56 72 -44
98 79 97
96 109 67
