166 3094
108 30 599
80 3 16
153 136 548
53 80 735
161 122 992
101 141 420
136 72 387
8 112 985
53 141 107
90 3 91
130 156 854
4 74 880
143 83 855
34 144 723
139 149 54
15 106 497
43 58 905
44 1 990
166 97 548
78 23 203
13 41 870
161 76 817
28 37 611
68 21 581
65 49 69
64 160 871
82 45 806
107 112 850
162 5 87
147 156 605
141 134 212
84 116 537
103 3 629
110 28 13
25 140 599
19 58 223
49 99 95
40 125 683
52 145 91
90 11 682
101 64 564
99 84 481
96 27 648
32 45 584
67 144 191
88 95 769
142 27 640
32 141 817
10 59 116
34 156 975
153 108 620
116 21 258
161 62 895
9 164 287
116 22 748
65 92 681
9 46 789
70 16 917
86 49 107
119 104 581
52 92 465
48 151 875
46 90 50
88 131 584
161 100 140
166 92 833
12 28 917
103 164 559
163 148 295
149 20 49
139 72 807
121 26 776
148 125 864
165 32 32
63 56 206
152 128 774
115 140 547
106 5 773
96 33 296
70 39 762
39 25 813
37 164 255
142 137 934
52 51 585
101 60 952
164 67 639
78 65 684
52 134 848
142 78 210
74 55 469
23 79 199
164 96 931
44 144 327
69 31 324
34 67 385
43 5 516
99 103 183
130 91 692
122 12 471
119 69 573
129 6 443
153 107 753
14 2 933
44 147 517
62 89 107
145 129 931
92 71 42
15 110 992
143 79 34
71 8 634
60 28 512
166 8 294
47 34 605
134 105 536
147 30 348
46 77 474
44 37 321
106 60 164
35 166 922
16 89 32
111 98 558
165 127 956
85 23 894
152 15 623
62 119 256
80 84 33
66 105 900
131 146 492
34 152 671
8 6 947
32 118 536
91 46 81
106 151 961
7 124 67
139 104 484
3 150 300
88 149 33
112 110 393
63 13 155
140 104 718
133 75 726
103 91 830
69 5 549
32 67 984
153 26 518
69 90 544
95 53 146
107 165 949
66 64 611
57 162 810
70 91 124
15 23 793
166 81 785
61 33 341
129 131 837
18 109 689
131 159 173
163 40 235
122 145 991
130 161 252
137 88 196
53 128 997
37 134 981
118 53 470
132 33 652
86 5 418
150 114 257
50 78 249
69 52 638
34 19 11
136 161 12
151 6 667
130 35 112
33 51 669
64 13 773
135 148 864
103 136 320
64 136 843
44 128 84
82 107 64
16 156 421
138 136 213
63 136 58
27 140 519
96 6 919
58 78 267
133 27 927
76 48 425
6 156 438
23 48 709
112 89 962
12 153 138
100 148 535
73 150 332
58 2 659
99 165 18
88 165 148
107 78 441
135 91 716
161 131 193
86 8 171
18 137 849
76 17 213
114 44 987
157 150 121
74 115 315
82 14 896
69 63 889
46 136 2
22 94 98
65 53 153
31 12 252
78 8 130
111 119 90
122 42 587
99 71 998
122 158 124
40 62 67
131 61 644
114 7 58
144 60 313
3 1 697
131 82 209
30 165 233
123 124 272
107 41 351
162 63 413
79 75 682
129 13 54
44 114 284
97 91 16
105 40 214
22 122 726
123 99 858
40 18 936
118 125 485
25 147 922
26 153 66
48 83 410
59 6 815
132 1 137
85 166 887
6 36 247
38 59 652
156 24 26
136 147 714
110 90 802
164 115 901
112 24 441
75 4 750
127 75 69
129 58 591
8 165 12
145 16 975
162 117 361
114 86 444
26 104 969
157 100 169
137 21 253
65 54 359
106 157 162
93 24 443
32 138 494
91 16 676
34 81 856
120 42 457
133 105 692
132 53 570
102 94 322
86 104 772
147 7 56
160 105 162
121 19 707
153 70 10
133 59 990
136 130 522
102 127 355
134 11 422
135 44 895
33 131 637
137 23 685
148 144 380
133 62 479
64 112 723
158 56 515
33 68 288
101 92 550
120 6 740
93 72 762
112 54 827
77 74 125
51 33 832
158 17 294
159 113 608
119 147 840
21 59 220
147 87 816
42 165 300
81 57 800
89 48 561
62 97 166
27 98 88
57 74 129
21 51 401
114 60 934
157 37 598
145 94 619
132 2 851
165 95 156
5 130 168
40 158 123
36 69 784
116 14 178
36 133 948
17 164 903
30 163 311
73 90 383
121 100 240
27 67 407
15 22 646
21 11 980
135 165 236
145 133 210
115 133 926
52 73 762
151 163 55
23 32 951
22 124 744
74 139 243
51 71 319
150 77 188
109 5 694
156 100 168
138 150 190
35 152 296
164 91 367
1 160 757
81 36 695
137 34 949
22 66 366
14 144 123
62 132 221
99 9 859
157 163 197
105 83 12
123 8 427
24 19 957
45 81 814
48 39 54
46 11 309
8 131 637
115 101 312
4 22 967
155 24 328
25 108 278
98 143 132
135 4 151
81 66 57
70 69 397
35 19 274
155 89 48
25 80 295
137 54 532
58 17 83
19 154 203
108 60 616
160 139 693
133 111 981
73 6 868
47 75 803
119 24 178
100 99 734
30 15 143
115 94 839
132 60 409
158 73 18
7 58 167
145 86 991
57 100 5
112 41 976
137 144 690
2 24 646
164 136 652
139 79 881
73 48 641
72 91 429
17 100 850
19 128 186
18 42 294
110 136 991
158 32 510
141 32 742
84 19 594
51 9 864
77 19 956
87 89 625
14 92 969
59 158 60
9 162 338
133 11 642
158 163 212
74 151 328
164 102 222
144 2 283
23 85 250
37 163 675
83 69 73
72 39 359
64 148 598
54 143 966
140 82 981
160 36 284
108 17 258
92 79 984
43 99 42
22 78 451
142 30 411
60 43 941
47 85 722
152 94 12
75 27 709
5 90 75
61 110 875
21 11 924
80 102 266
163 158 658
100 85 524
68 132 41
90 94 188
80 98 3
133 9 20
29 100 377
109 67 879
159 162 314
50 16 705
125 99 425
60 134 277
77 53 818
46 104 504
141 107 870
119 55 686
16 116 959
99 145 462
65 31 323
20 30 476
64 8 716
32 128 886
138 146 20
19 161 847
15 112 412
53 105 290
164 132 348
126 20 104
109 110 812
94 50 293
48 157 18
161 134 19
55 21 962
1 125 370
61 128 348
37 164 365
87 25 42
149 17 535
46 92 916
80 43 193
130 120 744
56 55 490
77 159 288
43 63 73
78 38 202
99 153 294
39 149 357
53 87 622
93 41 829
121 59 546
116 48 743
27 139 590
100 163 83
68 160 997
20 104 29
122 87 760
150 90 614
164 73 46
18 38 412
117 35 814
29 160 907
94 136 80
96 46 389
50 66 22
118 43 432
40 84 787
130 45 318
68 4 376
157 153 491
156 50 101
122 99 892
82 62 563
105 23 448
119 10 790
35 28 954
121 87 212
29 149 115
60 10 731
99 47 411
91 43 451
77 115 230
126 4 644
3 120 647
103 16 452
146 159 204
3 97 929
105 92 849
161 164 526
18 127 583
127 10 227
30 121 756
92 133 405
148 61 836
63 85 140
138 36 668
124 85 433
49 53 591
116 85 270
147 164 142
114 12 293
146 87 300
88 14 256
54 146 314
53 4 169
110 69 593
35 52 794
123 99 664
40 12 631
53 86 387
122 6 677
94 106 829
163 156 821
6 150 38
146 110 813
85 33 249
11 7 184
78 40 997
80 29 634
157 132 157
26 3 198
10 64 959
8 98 106
147 1 650
128 48 958
165 47 273
54 38 349
128 37 45
6 58 830
15 135 74
38 74 299
42 6 298
140 43 946
17 158 316
42 46 105
111 123 113
161 79 665
45 96 740
50 5 495
163 117 541
160 52 865
148 116 720
28 8 921
154 73 842
161 56 309
65 138 365
166 48 587
84 132 813
42 124 60
95 121 36
71 52 525
131 76 154
139 8 503
85 131 239
57 47 435
144 18 161
21 136 94
18 48 694
15 116 218
23 19 95
43 26 809
137 46 65
45 80 364
19 148 749
94 161 899
125 25 698
53 76 184
