172 293
5 43 21
146 160 -18
145 7 90
119 102 2
113 15 84
47 141 21
31 86 18
107 110 36
20 18 -26
165 30 -4
163 159 33
113 72 -32
117 92 24
143 93 94
102 84 -18
88 60 97
87 51 -42
85 87 -30
160 11 63
120 5 32
71 157 55
4 7 -13
16 167 0
140 106 51
114 16 88
48 55 -48
169 80 95
161 105 87
4 83 37
125 66 70
58 55 98
168 23 10
30 39 22
113 6 -27
37 84 76
92 43 70
152 69 81
167 110 80
161 111 -41
10 34 60
54 6 -4
159 37 -12
93 38 34
130 117 -9
23 44 7
14 48 46
111 76 80
106 92 87
104 83 20
79 69 63
102 69 -27
68 58 28
44 105 -44
39 111 40
32 34 -8
109 105 79
141 12 -41
130 125 -12
105 166 4
16 34 33
111 55 78
135 114 -6
49 104 47
35 147 28
17 10 62
118 94 -29
20 30 28
126 25 -12
80 114 -32
111 102 83
112 116 -41
53 41 -5
25 153 3
45 101 -46
106 153 57
97 134 64
131 93 -50
76 168 43
122 81 27
55 147 53
63 51 46
116 20 64
109 158 -50
131 104 75
92 29 75
16 75 58
153 126 61
48 167 54
52 140 -50
112 64 52
61 3 49
155 140 79
108 93 56
53 107 95
104 71 47
3 128 -4
142 64 44
171 16 82
104 137 -41
4 164 -11
41 170 87
46 104 -49
120 121 78
53 161 87
77 99 97
93 132 -47
71 166 30
152 100 38
54 62 90
43 90 -28
5 50 37
36 136 68
20 165 74
126 51 85
144 141 87
32 6 69
68 15 91
122 157 24
54 83 85
171 76 32
73 121 -27
170 51 55
109 136 99
116 152 7
44 55 23
101 162 35
133 144 32
143 59 29
53 78 73
81 96 42
134 97 -28
86 96 -39
3 112 93
167 69 69
63 72 0
80 83 -25
102 149 70
129 124 97
131 18 0
88 21 -31
95 59 -27
29 117 70
111 25 14
156 68 50
167 6 -39
29 56 94
35 43 -35
41 107 81
58 131 -24
70 42 49
12 69 83
99 28 -37
128 126 46
139 68 -16
123 160 -30
156 61 65
162 60 6
38 172 92
80 42 22
145 11 11
48 67 -24
164 163 77
145 143 57
86 7 -21
9 121 23
42 130 -37
87 14 9
75 20 49
22 3 13
76 28 -7
126 60 -18
162 85 10
45 71 -45
11 47 77
118 23 -26
94 10 -30
2 81 -5
43 112 82
27 171 71
154 151 -6
77 111 -23
33 22 35
91 125 36
154 67 86
12 147 68
89 16 -24
128 75 57
37 4 96
110 163 -30
105 25 55
49 55 28
158 106 22
130 170 86
6 171 18
31 134 36
94 29 50
68 39 80
129 73 46
89 73 18
102 85 28
124 78 -1
130 15 93
32 20 0
130 92 68
127 11 36
13 20 10
138 141 68
42 92 29
113 33 -38
54 131 -4
3 105 69
115 120 95
52 34 -3
137 161 -20
157 26 55
83 123 -40
170 3 -4
111 56 -1
113 35 23
77 100 -3
86 75 -35
62 113 34
127 59 97
130 52 71
156 73 0
8 17 -43
159 171 12
11 31 39
97 118 62
38 106 34
134 117 -35
171 120 76
10 62 29
44 24 89
123 43 10
60 74 70
167 53 -38
8 171 -22
100 117 3
147 44 -4
71 164 6
53 118 38
32 87 49
100 79 59
71 138 -13
63 53 -15
137 15 81
21 109 12
11 116 -37
14 121 -5
121 7 52
38 54 35
22 158 85
47 35 -37
148 152 -45
165 150 -45
41 119 63
63 8 -11
145 74 -25
67 36 83
145 79 -29
23 164 70
107 25 83
110 101 -17
45 143 -11
166 67 71
31 20 66
50 79 -49
99 128 24
11 36 21
67 43 42
85 52 63
132 134 20
102 3 -47
166 82 -39
101 18 -6
84 111 44
75 30 22
19 98 -22
133 152 67
100 81 63
99 42 39
80 170 38
112 110 54
10 64 61
106 24 20
68 74 -34
172 142 75
37 14 26
20 59 -45
99 151 74
128 132 -8
117 161 -16
